instnm,APPLCN (IC2013_RV),ADMSSN (IC2013_RV),ENRLT (IC2013_RV),APPLCN (IC2012_RV),ADMSSN (IC2012_RV),ENRLT (IC2012_RV),APPLCN (IC2011_RV),ADMSSN (IC2011_RV),ENRLT (IC2011_RV),APPLCN (IC2010_RV),ADMSSN (IC2010_RV),ENRLT (IC2010_RV),APPLCN (IC2009_RV),ADMSSN (IC2009_RV),ENRLT (IC2009_RV),APPLCN (IC2008_RV),ADMSSN (IC2008_RV),ENRLT (IC2008_RV),APPLCN (IC2007),ADMSSN (IC2007),ENRLT (IC2007),APPLCN (IC2006),ADMSSN (IC2006),ENRLT (IC2006),APPLCN (IC2005),ADMSSN (IC2005),ENRLT (IC2005),APPLCN (IC2004),ADMSSN (IC2004),ENRLT (IC2004),APPLCN (IC2003),ADMSSN (IC2003),ENRLT (IC2003),APPLCN (IC2002),ADMSSN (IC2002),ENRLT (IC2002),APPLCN (IC2001),ADMSSN (IC2001),ENRLT (IC2001),PUBPRIME (IC2017),
Arizona State University-Tempe,21770,17465,7171,29722,26425,9254,29771,25795,9544,28304,25616,9344,27089,24473,9707,24922,23504,9274,20702,19133,7894,20702,19133,7894,19914,18126,7706,20789,17899,7147,19785,17490,7126,18155,15385,6348,20861,15702,6203,2,
Auburn University,15745,13027,3726,17463,13486,3852,18323,12827,4202,15784,12417,4204,14862,11816,3918,17068,12085,3984,17688,12200,4191,15919,11538,4092,14249,11616,4197,12827,10796,3594,12439,9653,3706,13264,10994,4184,13645,10362,3755,2,
Baylor University,29249,16809,3190,27828,16879,3254,38960,15451,3033,34145,16315,3259,31440,15699,3098,25501,13096,3068,26514,11668,2732,21393,9097,2783,15485,10170,3168,10917,7924,2785,8931,7341,2678,7431,6028,2620,7986,6336,2801,-2,
Clemson University,18500,10706,3463,17072,10803,2935,16865,9724,3016,16282,10224,3383,14504,8355,2982,14255,7154,2762,12784,6990,2866,12784,6990,2813,10620,7287,3033,10620,7287,3019,11419,6945,2769,11315,5864,2471,11432,5976,2544,2,
Duke University,30374,4077,1714,28145,3938,1724,25462,4196,1751,22280,4203,1723,18774,4202,1703,17748,4077,1700,18159,4122,1683,16820,3992,1724,18090,3995,1724,17749,3804,1640,16315,3778,1619,13976,3673,1615,0,0,0,-2,
Florida State University,29579,16803,6048,30040,16124,5738,28313,16561,6135,26037,15498,5952,23439,14308,5967,25485,11901,5031,24343,13415,6133,23687,14027,6222,22450,14016,6067,22127,14307,6240,22438,14465,6097,18342,11444,5772,18342,11444,5772,2,
Georgia Institute of Technology-Main Campus,14645,8045,3044,14088,7210,2695,13495,6976,2712,11432,6721,2660,10258,6248,2640,9664,6122,2628,9259,5831,2626,9250,6163,2837,9172,6191,2427,8568,6008,2579,8573,5386,2237,8953,5270,2282,9476,5157,2225,2,
Indiana University-Bloomington,37826,27300,7604,35247,26228,7613,35218,25455,7424,36719,25391,7020,33011,23975,7327,31177,22039,7564,29059,20282,7197,26645,20873,8183,21974,18602,6949,21172,17572,6352,22178,17992,6784,21264,17267,7080,20228,16777,6815,2,
Iowa State University,16539,13648,5366,14540,12541,5048,15066,12135,4552,12536,10662,4356,12549,10953,4546,11058,9832,4347,9634,8674,3983,9101,8216,3769,9101,8216,3769,9172,8273,3729,9035,8116,3897,10370,9232,4219,10658,9604,4654,2,
Kansas State University,9839,9437,3821,9273,9180,3770,8292,8204,3644,8268,8147,3561,8413,8283,3687,9386,5249,3981,7479,6207,3104,9937,4788,3309,10067,4806,3466,10066,4806,3466,7952,4736,3439,8212,4752,3527,8077,5006,3283,2,
Louisiana State University and Agricultural & Mechanical College,16169,12326,5725,14818,11789,5290,18214,13148,5481,15917,11012,4789,15093,11092,5141,11452,8332,4596,10135,7455,4508,10825,7927,4970,11077,8660,5700,10147,8171,5428,10376,7973,5262,10536,8336,5301,9789,7588,5087,2,
Michigan State University,31479,21610,8061,30224,21327,8354,28416,20728,7984,26907,18829,7375,25395,18392,7416,25589,17919,7555,24436,18040,7541,23247,17046,7440,21844,16686,7485,21834,17343,7607,24973,17690,7122,25210,16977,7000,24391,15877,6914,2,
Mississippi State University,11191,7254,3156,10462,6502,2894,9862,6192,2898,9300,5158,2707,11281,6415,2450,7479,4273,3313,6098,3879,2281,5778,3982,1966,5778,3982,1966,5245,3568,1753,4646,3493,1688,4772,3469,1759,5463,1870,1777,2,
North Carolina State University at Raleigh,20700,10353,4398,20103,10577,4697,19753,10709,4705,18992,10409,4772,17853,10538,4804,16553,9985,4907,15640,9610,4693,13752,9170,4375,14109,8336,3957,12978,8048,3931,12293,7310,3732,11928,7866,3893,12168,7944,3839,2,
Northwestern University,32060,4912,2037,30926,5575,2107,27528,6367,2127,25369,6887,2128,25013,6553,2078,21930,5872,1981,18385,5434,2060,16204,4818,1952,15637,4684,1915,14137,4702,1941,14283,4701,2005,13988,4780,1952,14725,4827,1885,-2,
Ohio State University-Main Campus,31359,17413,7130,25816,16521,7215,26100,16518,7089,26764,16572,6672,21330,13840,6739,20932,13041,6173,21508,12697,6168,19026,12443,6280,17636,12957,5954,16954,12822,6057,20122,14494,6390,19563,14414,5982,19968,14501,5996,2,
Oklahoma State University-Main Campus,11064,8411,3872,12056,9351,4289,9914,8099,3896,8696,7079,3554,7561,6537,3148,6406,5702,3073,6415,5651,3209,6730,5853,3236,6533,3331,3315,6633,5881,3264,6706,5952,3484,5167,4712,3265,5548,5074,3165,2,
Oregon State University,12414,9799,3516,12197,9471,3506,11428,9269,3696,10068,8303,3506,8640,7270,3191,8149,6971,3141,9077,8387,3009,6552,6078,2925,6917,6224,2888,7410,6529,2949,5811,4379,3058,6645,3402,3115,6906,6041,2769,2,
Pennsylvania State University-Main Campus,47552,25772,7649,45502,23855,7366,41545,22761,7262,40714,21017,6560,39089,20011,7241,39551,20156,6495,34813,20181,8039,29904,18423,6496,30122,17551,5907,31264,17174,6048,27604,15628,5929,28100,15966,6122,28862,13966,5633,2,
Purdue University-Main Campus,31083,18779,6422,31124,19127,6476,29721,20318,6821,30707,19993,6513,27213,19905,6225,29952,21423,7025,25929,20429,6914,24883,21042,7537,24052,20432,7252,24003,19259,6865,22977,18076,6505,22872,17292,6208,21760,16727,6354,2,
Stanford University,38828,2208,1677,36632,2423,1765,34348,2437,1707,32022,2340,1672,30429,2426,1694,25299,2400,1703,23958,2464,1723,22333,2444,1648,20195,2426,1633,19172,2486,1649,18628,2343,1640,18599,2368,1639,19052,2406,1616,-2,
Texas Tech University,19170,12709,4785,18027,11593,4560,17569,11645,4464,16349,11720,4858,16551,11228,4585,16143,11643,4385,11961,10759,4496,13809,9691,3918,12583,8927,3779,13323,8939,3950,13755,9257,4445,13101,9039,4531,12008,8837,4196,2,
The University of Alabama,30975,17515,6454,26409,14019,6397,22136,9636,5766,20112,10776,5563,18967,11133,5148,18500,11172,5116,14313,9140,4538,12522,8770,4378,10555,7776,3739,9106,7021,3368,8298,7194,3077,7322,6196,2655,7864,6250,2420,2,
The University of Tennessee-Knoxville,14396,10435,4276,14398,9693,4207,13769,9595,4188,12555,9352,4214,12234,8892,3717,12824,9136,4351,12606,9009,4351,12251,9060,4265,10832,4793,4422,10832,4793,4422,9514,6790,3579,9350,8241,3682,8263,5675,3958,2,
The University of Texas at Austin,38161,15335,7249,35431,16563,8092,32589,15172,7149,31022,14583,7275,31362,14213,7243,29501,12843,6718,27237,13800,7478,27315,13307,7417,23925,12207,6836,23008,11788,6791,24519,11504,6544,22178,13473,7935,20954,13326,7337,2,
University of Arizona,26329,20251,7401,26854,19172,7300,26629,20068,7032,26629,20068,7032,24756,19310,6966,22544,18158,6709,25449,19703,8482,16609,14293,6009,17904,15701,5974,23725,19788,5725,21185,18021,5958,19832,16973,5808,19719,16613,5949,2,
University of Arkansas,18908,11076,4339,16749,10630,4574,16633,10129,4447,14019,8468,3810,12035,6751,2919,12045,6945,3011,10135,6262,2899,8443,5770,2784,6041,5283,2752,5819,4567,2514,5491,4661,2357,5017,4320,2251,4280,3858,2283,2,
University of California-Berkeley,61717,11108,4162,52982,11450,4443,50374,10795,4109,48682,10524,4356,48473,10404,4261,44149,10251,4225,41796,9932,4157,37014,9817,4101,36679,9041,3672,37001,8833,3653,36445,8707,3653,36100,8912,3863,32963,8715,3703,2,
University of California-Los Angeles,72676,15981,5620,61556,16689,5825,61545,15719,4636,55694,12178,4472,55423,12659,4735,50746,11960,4563,47317,12188,4810,42223,11361,4423,43267,9949,3723,44981,10577,4268,43436,10454,4257,40739,10953,4246,40739,10953,4247,2,
University of Florida,27107,12618,6373,27419,12092,6289,27295,11786,6451,26512,11459,6381,25798,11015,6253,26326,10916,6384,24126,10158,6443,22093,10652,6702,21151,12100,7241,22458,11928,6741,22973,12029,6596,20119,11728,6536,18625,11186,6361,2,
University of Georgia,18458,10352,4936,17569,11062,5482,17408,10318,4679,17776,9557,4684,17207,9569,4851,16871,9242,4721,15924,9214,5064,12326,7982,4712,13267,8197,4513,11813,8885,5190,11813,8885,5190,12786,8340,4228,10953,8419,4514,2,
University of Illinois at Urbana-Champaign,33203,20716,7329,31454,19924,6921,28751,19434,7252,27310,18324,6929,26057,17053,6984,23240,16043,7287,21645,15361,6940,18985,14324,7580,21986,14955,7237,22269,13939,6811,21484,12924,6366,19930,12351,6247,18805,12116,6179,2,
University of Iowa,21642,17363,4460,19430,15240,4470,18939,15105,4565,17220,14434,4557,15060,12503,4063,15582,12827,4246,14678,12209,4287,14350,11880,4289,13241,11122,3849,13874,11545,4017,13337,10979,4083,13079,11038,4184,11836,10089,4005,2,
University of Kansas,12389,11433,3771,10035,9306,3580,10157,9397,3702,10653,9740,3942,10902,10003,4483,10367,9554,4084,10240,7874,4153,10030,7435,4201,10442,7228,4269,9700,6600,4066,9573,6458,4074,9005,6157,4078,8479,5861,4208,2,
University of Kentucky,19810,13592,4702,15153,10362,4139,13537,9275,4328,12195,8966,4153,11120,8757,4110,10619,8172,3865,10024,8073,4190,10516,8124,3835,10604,8353,3961,9418,7603,3688,8879,7250,3718,8449,6914,3140,8312,6696,2928,2,
University of Maryland-College Park,26247,12333,4020,25326,11889,3906,26372,11815,3994,26147,11671,3933,28331,11870,4202,28054,10888,3912,24172,11370,4236,23546,10470,3962,22427,11001,4212,22292,11499,4200,25028,10679,4063,23117,10046,3912,19647,10801,4374,2,
University of Michigan-Ann Arbor,46813,15570,6200,42544,15551,6148,39584,16073,6236,31613,16006,6481,29965,14970,6079,29814,12567,5783,27474,13826,5992,25806,12246,5386,23882,13610,6115,21293,13304,6040,25943,13814,5553,25108,12315,5187,24141,12594,5540,2,
University of Minnesota-Twin Cities,43048,19121,5544,38174,18900,5514,39720,18505,5368,36853,17613,5323,33910,16960,5400,29173,15324,5107,26096,14823,5280,24663,14165,5439,20573,14309,5305,18537,13707,5588,17180,13059,5186,14724,10967,5185,15436,11673,5344,2,
University of Mississippi,14258,11484,3582,13934,8507,3373,13321,10524,3569,10909,8479,3088,8595,6839,2576,7946,6630,2473,7921,6644,2570,6763,4942,2192,6662,5410,2270,6490,5251,2427,7603,5114,2257,7603,5114,2257,7176,5001,2152,2,
University of North Carolina at Chapel Hill,28437,7847,3915,22652,7469,4026,22288,7552,3960,23225,7345,3960,21543,7315,3865,20090,6999,3893,19728,6737,3807,18414,6736,3751,18850,6741,3589,17591,6441,3516,17141,6073,3460,15946,6339,3687,16569,6088,3415,2,
University of Oklahoma-Norman Campus,10991,8841,4052,11650,9220,4138,11456,9377,4053,9996,8500,3726,9252,8211,3760,10863,7958,3803,9428,7776,3883,8223,6814,3342,7382,6325,3239,8165,6723,3614,8140,6638,3808,7248,6425,3833,6943,6459,3748,2,
University of Oregon,21263,15770,4031,23012,16790,4167,18515,14588,3978,16780,13367,3839,15013,12801,4260,11287,9813,3587,10821,9531,3423,10012,9048,3207,9623,8749,3183,10193,8602,2865,9889,8479,3317,8686,7819,3107,8107,7305,2876,2,
University of South Carolina-Columbia,23429,14199,4625,21311,13451,4637,18485,12914,4468,17695,11262,3917,17018,9954,3967,14994,8908,3813,13946,8782,3697,13023,8812,3734,12379,8344,3403,12004,8442,3491,12016,8446,3561,11176,7788,3287,11176,7788,3298,2,
University of Southern California,47358,9395,2922,46104,9187,3021,37210,8566,2931,35794,8715,2972,35753,8724,2869,35900,7875,2766,33760,8453,2963,33973,8634,2763,31634,8418,2741,29792,8037,2770,29278,8753,2976,28362,8620,2766,26351,8973,2916,-2,
University of Virginia-Main Campus,28984,8691,3520,27178,8031,3400,23583,7847,3439,22124,7212,3246,21109,6768,3250,18363,6735,3255,17800,6274,3245,16087,6020,3091,15657,5898,3113,14824,5760,3113,14627,5775,3102,14320,5588,2999,14739,5534,2980,2,
University of Washington-Seattle Campus,30199,16679,6253,24540,14340,5788,24537,14340,5774,21268,12264,5338,20224,12327,5579,19906,12094,5607,17808,11511,5325,15923,10681,4924,15955,10694,4893,15773,11156,4977,15773,11156,4977,15633,10787,4846,14664,11523,6566,2,
University of Wisconsin-Madison,23324,15841,6279,21352,14651,5828,21689,14417,5927,21390,14225,5680,22613,13446,5773,22289,14004,5994,20436,13403,5643,20156,14734,6141,19263,13723,5641,19342,13447,5579,19737,12992,5514,19249,13683,6095,16874,12777,5736,2,
Vanderbilt University,31099,3963,1613,28348,4034,1608,24837,4078,1601,21811,3914,1600,19353,3899,1599,16944,4292,1569,12911,4238,1673,11663,4115,1622,11663,4115,1622,11173,4280,1602,9836,4550,1579,9836,4550,1579,9730,4514,1557,-2,
Wake Forest University,11121,3915,1232,11407,3875,1240,9869,3933,1240,10566,4256,1225,10553,3959,1201,9050,3473,1202,7177,3041,1124,7342,3128,1125,6289,2945,1121,6289,2945,1121,5752,2599,1007,5995,2454,1007,5271,2421,989,-2,
Washington State University,14887,12219,4163,14825,11269,4389,13094,10939,4176,11604,8068,2980,11795,8995,3372,11326,8179,3411,10853,8240,3477,9314,7177,2856,9193,6793,2878,9463,7125,3108,9213,7184,3032,8932,6885,2790,7958,6476,2619,2,